Name;Company;Info;Link;Date
 Python разработчик;РТЛабс;Бэкенд, Средний (Middle) • Python • PostgreSQL • Москва • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101604;1 апреля
Python developer;Remedy Logic;Бэкенд, Средний (Middle) • Python • JavaScript • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100615;1 апреля
QA Python;Сбер;Тестирование, Старший (Senior) • Python • Junit • Москва • Санкт-Петербург • Полный рабочий день;https://career.habr.com/vacancies/1000099729;2 апреля
Python разработчик;Магнит;Бэкенд, Старший (Senior) • Python • Django • Asyncio • AIOHTTP • Flask • SOLID • RabbitMQ • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100895;29 марта
Middle/Senior Python Developer;OSLA;Бэкенд, Средний (Middle) • Python • Django • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100192;10 марта
Python разработчик;Uploadcare;Бэкенд, Средний (Middle) • Python • Django • Flask • AWS • Nginx • Docker • SQL • Москва • Санкт-Петербург • Екатеринбург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000052886;31 марта
Инженер по автоматизированному тестированию (Python);МегаФон;Тестирование, Средний (Middle) • Python • Москва • Полный рабочий день;https://career.habr.com/vacancies/1000101035;31 марта
Разработчик Python;AISA IT-Service;Бэкенд, Средний (Middle) • Python • Linux • Docker • Kubernetes • Москва • Санкт-Петербург • Полный рабочий день;https://career.habr.com/vacancies/1000085348;31 марта
Python developer;Team4You;Бэкенд, Средний (Middle) • Python • RabbitMQ • Django • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102208;5 апреля
Разработчик Python;HRAngel;Бэкенд, Старший (Senior) • Python • Django • Asyncio • AIOHTTP • Тюмень • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000100349;10 марта
Python разработчик;IPONWEB;Бэкенд, Средний (Middle) • Python • Django • Git • PostgreSQL • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000085016;10 марта
Python Developer;Decart IT-production;Бэкенд, Средний (Middle) • Python • AWS • Django • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000101715;28 марта
Разработчик (Python);Сервисная компания «Пикта»;Бэкенд • Git • Python • SQL • Django • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000096971;29 марта
Senior Python Developer;Самокат;Бэкенд, Старший (Senior) • SQL • Python • Docker • Kubernetes • Москва • Санкт-Петербург • Полный рабочий день • Можно удаленно;https://career.habr.com/vacancies/1000102200;5 апреля
