Name;Info;Link
 Python разработчик;Бэкенд, Средний (Middle) • Python • PostgreSQL;https://career.habr.com/vacancies/1000101604
Python developer;Бэкенд, Средний (Middle) • Python • JavaScript;https://career.habr.com/vacancies/1000100615
QA Python;Тестирование, Старший (Senior) • Python • Junit;https://career.habr.com/vacancies/1000099729
Python разработчик;Бэкенд, Старший (Senior) • Python • Django • Asyncio • AIOHTTP • Flask • SOLID • RabbitMQ;https://career.habr.com/vacancies/1000100895
Middle/Senior Python Developer;Бэкенд, Средний (Middle) • Python • Django;https://career.habr.com/vacancies/1000100192
Инженер по автоматизированному тестированию (Python);Тестирование, Средний (Middle) • Python;https://career.habr.com/vacancies/1000101035
Python разработчик;Бэкенд, Средний (Middle) • Python • Django • Flask • AWS • Nginx • Docker • SQL;https://career.habr.com/vacancies/1000052886
Разработчик Python;Бэкенд, Средний (Middle) • Python • Linux • Docker • Kubernetes;https://career.habr.com/vacancies/1000085348
Разработчик Python;Бэкенд, Старший (Senior) • Python • Django • Asyncio • AIOHTTP;https://career.habr.com/vacancies/1000100349
Python разработчик;Бэкенд, Средний (Middle) • Python • Django • Git • PostgreSQL;https://career.habr.com/vacancies/1000085016
Python Developer;Бэкенд, Средний (Middle) • Python • AWS • Django;https://career.habr.com/vacancies/1000101715
Разработчик (Python);Бэкенд • Git • Python • SQL • Django;https://career.habr.com/vacancies/1000096971
Python Developer;Бэкенд, Средний (Middle) • Python • Django • SQL;https://career.habr.com/vacancies/1000086299
Python developer;Бэкенд, Средний (Middle) • Python • PostgreSQL • Django • Redis • Docker;https://career.habr.com/vacancies/1000101971
Python developer;Бэкенд, Средний (Middle) • Python • PostgreSQL • Linux • Nginx;https://career.habr.com/vacancies/1000094379
Python разработчик;Бэкенд, Старший (Senior) • Python • SQL • PostgreSQL • RabbitMQ • Git;https://career.habr.com/vacancies/1000100503
Python Backend Developer;Бэкенд, Средний (Middle) • Python • Python • PostgreSQL • SQLalchemy • gRPC • Linux • FastAPI • Redis;https://career.habr.com/vacancies/1000101068
Python developer (Big Data);Бэкенд, Старший (Senior) • Python • Django • Flask • Celery;https://career.habr.com/vacancies/1000096518
Python Developer (Middle);Бэкенд, Средний (Middle) • Python • SQL • T-SQL;https://career.habr.com/vacancies/1000092859
Python developer (Речевые технологии);Бэкенд, Старший (Senior) • Python • Высоконагруженные системы;https://career.habr.com/vacancies/1000094948
Python developer (Dialog Policy);Бэкенд, Старший (Senior) • Python • Высоконагруженные системы • Apache Kafka;https://career.habr.com/vacancies/1000094946
SDET Python (KLDFS);Тестирование • Python • Linux • Windows Azure;https://career.habr.com/vacancies/1000094137
Python developer;Бэкенд, Средний (Middle) • Python • Django • Redis;https://career.habr.com/vacancies/1000088697
Python Developer (Django);Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • SOLID;https://career.habr.com/vacancies/1000101986
Разработчик python;Бэкенд, Средний (Middle) • Базы данных • Python • Django • Linux • SQL • Pandas • C#;https://career.habr.com/vacancies/1000101194
Разработчик Python;Разработка ПО, Средний (Middle) • Python • Django • Высоконагруженные системы • Docker;https://career.habr.com/vacancies/1000096056
Разработчик Python ;Бэкенд, Средний (Middle) • Python • PostgreSQL • Kubernetes • MongoDB • RabbitMQ;https://career.habr.com/vacancies/1000102032
Python разработчик;Бэкенд, Средний (Middle) • Python • Git • SQL • PostgreSQL • Kubernetes;https://career.habr.com/vacancies/1000101224
Python Developer;Бэкенд, Старший (Senior) • Python • PostgreSQL • Linux • MongoDB • Docker;https://career.habr.com/vacancies/1000086477
Python разработчик;Бэкенд, Старший (Senior) • Python • Django • Flask • PostgreSQL • TeamCity • Sentry;https://career.habr.com/vacancies/1000100891
Developer Python;Разработка ПО, Старший (Senior) • Java • Python • Docker • Jira • ELK Stack • Kubernetes;https://career.habr.com/vacancies/1000102066
Программист Python (удаленно);Бэкенд, Средний (Middle) • Python • SQL • Git • PostgreSQL • Linux;https://career.habr.com/vacancies/1000078346
Python backend developer;Бэкенд, Средний (Middle) • Python • Django • Git • PostgreSQL • Linux;https://career.habr.com/vacancies/1000098379
Developer Python (KATA);Разработка ПО • Python • Linux;https://career.habr.com/vacancies/1000100946
Python developer ;Бэкенд, Средний (Middle) • Python • Asyncio • PostgreSQL • Docker • FastAPI • Django;https://career.habr.com/vacancies/1000100774
Руководитель разработки на Python ;Разработка ПО, Средний (Middle) • Git • Python • Docker • Linux • PostgreSQL • MongoDB;https://career.habr.com/vacancies/1000101106
Разработчик Python (Django);Бэкенд, Средний (Middle) • Python • SQL • Django • Git;https://career.habr.com/vacancies/1000098258
Python-разработчик;Бэкенд, Старший (Senior) • Python • Docker • Git • REST • SOAP • Kubernetes • Apache Kafka • Асинхронное программирование • Шаблон проектирования;https://career.habr.com/vacancies/1000101619
Python (Django) Developer удалённо ;Бэкенд, Средний (Middle) • Python • Django • PostgreSQL;https://career.habr.com/vacancies/1000102057
Python-разработчик (CXHub);Бэкенд, Средний (Middle) • Python • SQL • PostgreSQL;https://career.habr.com/vacancies/1000099594
Python/Django удалённый разработчик;Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • Docker;https://career.habr.com/vacancies/1000059989
BackEnd Lead Python;Бэкенд, Ведущий (Lead) • Python • Django • MongoDB • PostgreSQL;https://career.habr.com/vacancies/1000100954
Python Developer;Бэкенд, Средний (Middle) • Python • PostgreSQL • AIOHTTP • Django • Asyncio • Redis • MongoDB • Git • Docker;https://career.habr.com/vacancies/1000099909
Python разработчик (удаленно);Бэкенд, Старший (Senior) • Python • Docker • Django • Flask • FastAPI;https://career.habr.com/vacancies/1000100958
Python-разработчик (Речевая аналитика);Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • Docker • Git;https://career.habr.com/vacancies/1000094905
C++/Python разработчик в Браузер;Бэкенд, Средний (Middle) • C++ • Python;https://career.habr.com/vacancies/1000099872
Python-разработчик в команду Compute;Бэкенд, Средний (Middle) • Python • Flask • PostgreSQL • Linux • Openstack;https://career.habr.com/vacancies/1000089277
Backend разработчик Web-приложений Python;Бэкенд, Средний (Middle) • Python • Jira;https://career.habr.com/vacancies/1000083820
Python разработчик (Remote);Бэкенд, Старший (Senior) • Python • SQL • Kubernetes • Apache Kafka • MongoDB • ELK Stack • AWS • GitLab;https://career.habr.com/vacancies/1000102013
Python developer (Middle);Бэкенд, Средний (Middle) • Python • Django • Redis • Git • PostgreSQL • RabbitMQ • Apache Kafka • Высоконагруженные системы;https://career.habr.com/vacancies/1000082657
Разработчик Python/Django;Бэкенд, Средний (Middle) • Python • Django • Docker • MySQL • ООП • Git • Linux • Redis • Nginx;https://career.habr.com/vacancies/1000066133
Python-разработчик (направление B2B2C);Бэкенд, Старший (Senior) • Python • Flask • PostgreSQL • Docker • Elasticsearch;https://career.habr.com/vacancies/1000094907
Python разработчик в команду платформы PaaS;Бэкенд • Python;https://career.habr.com/vacancies/1000098366
Senior Python Developer;Бэкенд, Старший (Senior) • Django • Python • SQL • PostgreSQL • Celery • AWS;https://career.habr.com/vacancies/1000101814
Программист / Разработчик Python/Django (middle);Бэкенд, Средний (Middle) • Python • Высоконагруженные системы • Django • Git • Linux • REST;https://career.habr.com/vacancies/1000079501
Python разработчик / Middle ;Бэкенд, Средний (Middle) • Python • Jenkins • Circle CI • GitLab • CI/CD;https://career.habr.com/vacancies/1000098210
Senior Python engineer;Бэкенд, Старший (Senior) • Python • Golang • Redis • Kubernetes • Docker • PostgreSQL;https://career.habr.com/vacancies/1000095407
Middle/Senior Python Developer;Бэкенд, Старший (Senior) • Python • Django • MySQL • RabbitMQ • SOLID • PostgreSQL;https://career.habr.com/vacancies/1000102049
Python-разработчик в команду Compute;Бэкенд, Средний (Middle) • Python • Git • Docker • PostgreSQL • Flask • Openstack;https://career.habr.com/vacancies/1000096881
Разработчик Python, ETL;Бэкенд, Старший (Senior) • Python • SQL • Docker • Pandas • ClickHouse • Kubernetes;https://career.habr.com/vacancies/1000101664
Middle Python-разработчик;Разработка ПО, Средний (Middle) • Linux • Python • Git • JavaScript • Flask • Django;https://career.habr.com/vacancies/1000101131
Ведущий Python (Django) Developer (удалённо);Бэкенд, Старший (Senior) • Python • Django • PostgreSQL;https://career.habr.com/vacancies/1000102059
Python Developer Middle/Senior;Бэкенд, Средний (Middle) • Python • Docker • Flask • PostgreSQL • RabbitMQ • Django • FastAPI;https://career.habr.com/vacancies/1000086490
Python developer (middle);Бэкенд, Средний (Middle) • Python • Django • PostgreSQL • Docker • FastAPI • Apache Kafka;https://career.habr.com/vacancies/1000090782
Python Developer Senior/TeamLead;Бэкенд, Старший (Senior) • Python • Django • ООП • Flask • Высоконагруженные системы;https://career.habr.com/vacancies/1000084163
Python Backend разработчик;Бэкенд, Средний (Middle) • Python • FastAPI • PostgreSQL • Git • Linux • Docker;https://career.habr.com/vacancies/1000093439
Senior system developer (C++/Python);Бэкенд, Средний (Middle) • SQL • Python • Git • Linux;https://career.habr.com/vacancies/1000101045
Python-разработчик в команду Дисков и Бэкапов;Бэкенд, Средний (Middle) • Python • Git • Openstack • Docker;https://career.habr.com/vacancies/1000092714
Team lead (Python/Django);Разработка ПО, Ведущий (Lead) • Python • Django • REST • PostgreSQL • React Native • DevOps • RabbitMQ • JavaScript;https://career.habr.com/vacancies/1000099940
Python developer middle+;Бэкенд, Средний (Middle) • Git • PostgreSQL • Docker • Python • Linux • Nginx • AWS • FastAPI • Flask;https://career.habr.com/vacancies/1000100998
Python developer (Senior);Бэкенд, Старший (Senior) • Python • Django • PostgreSQL • Redis • Высоконагруженные системы • RabbitMQ • Apache Kafka • ClickHouse • Elasticsearch;https://career.habr.com/vacancies/1000082651
Automation QA (Python) relocate ;Тестирование, Старший (Senior) • Python • SQL • Нагрузочное тестирование • Bash • Linux • Git • Docker;https://career.habr.com/vacancies/1000102012
